model,connection,trial,x,y,z,volume,n_cells,n_points,n_voxels,n_vertices,preprocess,r_optim,voxelization,voxel_clip,graph_repr,path_finding,node_object_prep,link_object_prep,r_trace_prep,postprocess
keypad_9,single,2,115.99500274658203,116.9900016784668,18.60000079870224,241964.0425764021,7336,3688,155232,65784,0.006440878,2.3479537963867188,2.383466958999634,0.011782169342041016,0.5176141262054443,7.6280012130737305,11.749620914459229,2.817805051803589,14.862250804901123,0.13543033599853516
keypad_16,single,2,166.99999523162842,166.00000381469727,17.999998569488525,458519.21943311015,10316,5192,320211,124920,0.009061813,2.6635570526123047,4.675868034362793,0.022605658,0.9974663257598877,19.682674884796143,39.55400085449219,6.018154144287109,149.99285316467285,0.3133702278137207
land,single,2,94.18013000488281,87.53812408447266,88.40121618852345,317412.3695415129,29472,14738,325651,249004,0.012397050857543945,2.3650779724121094,18.65339493751526,0.04574728,2.3519809246063232,23.097344875335693,16.078047037124634,2.102353096008301,8.695998907089233,0.095107079
lion,single,2,97.75360107421875,94.20603942871094,119.72190856933594,613578.0471969304,69994,34999,384828,266067,0.15372872352600098,2.122084856033325,22.485026121139526,0.054025888442993164,2.458721876144409,132.64990305900574,16.479806184768677,2.0882129669189453,22.388108015060425,0.095839262
power,single,2,111.31022644042969,124.14916253089905,30.07499885559082,132101.65412710374,2256,1130,295056,105340,0.13583898544311523,2.363157033920288,6.170986175537109,0.023198843002319336,0.9836230278015137,155.28356671333313,13.957029104232788,1.595771074295044,57.919238805770874,0.069779158
bunny,single,3,115.1202392578125,89.19262313842773,111.71478271484375,302390.87748571363,259898,129951,444696,335504,0.11403822898864746,2.0815911293029785,59.97747517,0.063964844,3.049898862838745,52.80695986747742,22.05678892,1.6111230850219727,11.550671815872192,0.072639942
hilbert,single,3,81.83244323730469,81.83242797851562,81.83242797851562,173666.65609356566,39936,19968,285897,56007,0.018955946,2.534187078475952,11.993930101394653,0.019798994064331055,0.5273540019989014,1.0321547985076904,46.20455217,3.350271224975586,51.19921112060547,0.24203276634216309
keypad_4,single,3,65.99999952316284,66.99999809265137,18.600000023841858,78284.09954,2116,1068,50176,18234,0.004453182,2.2601630687713623,0.6936948299407959,0.004600286,0.1568138599395752,2.9771790504455566,2.2718920707702637,1.1621620655059814,5.753621816635132,0.056499004
keypad_9,single,3,115.99500274658203,116.9900016784668,18.60000079870224,241964.0425764021,7336,3688,155232,65784,0.006480932,2.419614077,2.4000697135925293,0.010842084884643555,0.5155932903289795,7.069871187210083,11.754291772842407,2.947150707244873,15.31742525100708,0.1466224193572998
keypad_16,single,3,166.99999523162842,166.00000381469727,17.999998569488525,458519.21943311015,10316,5192,320211,124920,0.006726027,2.675117015838623,4.724500894546509,0.021778106689453125,0.9967601299285889,19.63537311553955,39.367228746414185,6.051723003387451,151.39865016937256,0.34102487564086914
land,single,3,94.18013000488281,87.53812408447266,88.40121618852345,317412.3695415129,29472,14738,325651,249004,0.012661933898925781,2.341499090194702,18.654800176620483,0.048527718,2.3284900188446045,23.16356611251831,16.084011793136597,2.0559160709381104,9.139523029327393,0.10145425796508789
lion,single,3,97.75360107421875,94.20603942871094,119.72190856933594,613578.0471969304,69994,34999,384828,266067,0.1514880657196045,2.0998480319976807,22.866079807281494,0.045026064,2.4771039485931396,131.9550280570984,16.809160947799683,2.037663221359253,22.217036962509155,0.094381809
power,single,3,111.31022644042969,124.14916253089905,30.07499885559082,132101.65412710374,2256,1130,295056,105340,0.15159296989440918,2.379471778869629,6.1490442752838135,0.023642778396606445,0.9584717750549316,155.5382001399994,13.881923913955688,1.6255578994750977,58.46275782585144,0.066797018
bunny,single,4,115.1202392578125,89.19262313842773,111.71478271484375,302390.87748571363,259898,129951,444696,335504,0.1157078742980957,2.0878751277923584,59.42024302482605,0.058907986,3.0933361053466797,53.53126907348633,22.00101613998413,1.5737779140472412,11.88420820236206,0.075716257
hilbert,single,4,81.83244323730469,81.83242797851562,81.83242797851562,173666.65609356566,39936,19968,285897,56007,0.019205808639526367,2.653404951095581,11.948248863220215,0.024097204208374023,0.5410029888153076,1.045332908630371,46.090574741363525,3.5078840255737305,51.61936092376709,0.24910783767700195
keypad_4,single,4,65.99999952316284,66.99999809265137,18.600000023841858,78284.09954,2116,1068,50176,18234,0.005730152,2.397578239440918,0.6957907676696777,0.004456043,0.14761710166931152,3.026552916,2.264263153076172,1.1575160026550293,5.728476047515869,0.050767183
keypad_9,single,4,115.99500274658203,116.9900016784668,18.60000079870224,241964.0425764021,7336,3688,155232,65784,0.004652023,2.337522029876709,2.3857343196868896,0.010778904,0.5187499523162842,7.279422998428345,11.864578008651733,2.894922971725464,15.054664134979248,0.13343596458435059
keypad_16,single,4,166.99999523162842,166.00000381469727,17.999998569488525,458519.21943311015,10316,5192,320211,124920,0.007770777,2.7717418670654297,4.7912678718566895,0.022961854934692383,1.0245139598846436,19.986165285110474,39.70533299446106,5.901974201202393,146.84991908073425,0.3353579044342041
land,single,4,94.18013000488281,87.53812408447266,88.40121618852345,317412.3695415129,29472,14738,325651,249004,0.013683795928955078,2.4702231884002686,18.61656379699707,0.044532060623168945,2.3357009887695312,22.85517692565918,16.053607940673828,2.028247833251953,8.842909812927246,0.091274023
lion,single,4,97.75360107421875,94.20603942871094,119.72190856933594,613578.0471969304,69994,34999,384828,266067,0.14477181434631348,2.120201826095581,22.47439718,0.045726061,2.4758238792419434,132.44601798057556,16.49263620376587,2.049901008605957,22.64235496520996,0.096548796
power,single,4,111.31022644042969,124.14916253089905,30.07499885559082,132101.65412710374,2256,1130,295056,105340,0.13871002197265625,2.3712430000305176,6.432029962539673,0.026247739791870117,0.9858942031860352,156.2233428955078,14.559674739837646,1.6392149925231934,60.55866599082947,0.073161125
